"","V1","V2"
"1",-69.279377160934,-50.1235878570158
"2",-67.9405821464911,-49.6635400423183
"3",-70.6724105614809,-47.7452818061827
"4",-70.3664277517234,-48.9496043575266
"5",-69.3132073942172,-48.8076709076812
"6",-67.8298446438419,-48.1567933794365
"7",-66.6349725088244,-47.8437064940485
"8",-71.1257903913755,-47.2202590262883
"9",-69.5985343739427,-46.7390658972127
"10",-68.6341563137507,-47.0714203274634
"11",-68.3131900592244,-47.5428286372061
"12",-67.353178970146,-47.1166821558933
"13",-72.3931437295561,-44.9698360091744
"14",-70.9732869878061,-45.1786154117471
"15",-69.7747051735319,-45.6512238975632
"16",-69.0930928098109,-46.0588151861529
"17",-68.2750572700668,-45.9541406693726
"18",-67.3633801273926,-45.4889162554426
"19",-71.9975536396548,-44.2281057904507
"20",-70.8937183766842,-43.7435632743717
"21",-70.0745184727873,-44.4330362613997
"22",-69.1865675822898,-43.9653232624704
"23",-68.482752117612,-44.6517476336294
"24",-67.0350187207986,-44.0340615239593
"25",-66.5644591968383,-44.6990184127343
"26",-65.6247872030343,-44.569783320575
"27",-71.6047532425382,-42.3436308328571
"28",-70.734738324327,-42.8179481404134
"29",-70.2590249550168,-43.457906577742
"30",-68.6948262103698,-43.2876134235872
"31",-68.2382898407921,-42.6747959635916
"32",-66.9666355427142,-42.6269390147347
"33",-65.7452110655345,-42.7348620652345
"34",-65.6146471703291,-42.2929591974164
"35",-71.9402797202763,-41.364919447519
"36",-71.1572508810777,-41.8171666045807
"37",-70.0597027512384,-41.7257964632785
"38",-68.6009153323351,-41.6625852370307
"39",-68.0978869845518,-41.9568156967032
"40",-66.9458600517681,-42.0301144513225
"41",-65.8649661943784,-41.8329448057358
"42",-65.0195998112838,-41.9386301396525
"43",-70.9981847999607,-39.9866090299955
"44",-70.1680352004173,-40.5793175828961
"45",-69.2917235360703,-40.0144062698458
"46",-68.2044954190427,-40.2576561532881
"47",-67.4332917283812,-40.030545066054
"48",-65.9878696506555,-39.9491141007742
"49",-65.6103156128308,-39.7143137745599
"50",-70.4335168675465,-39.5746362676528
"51",-69.4051207675125,-38.8061926690707
"52",-67.7173101545453,-38.5099281916446
"53",-67.1394655095029,-38.4707130039412
"54",-66.1463711349992,-39.4407484564139
"55",18.5863627664008,-32.7090665834294
"56",19.2233689436938,-33.4012151515522
"57",20.5881766731956,-32.763905323318
"58",21.0307018456493,-33.0406951272597
"59",22.2540511464043,-32.4702227480389
"60",18.4592679488073,-31.8329524386154
"61",19.8533519402923,-31.3535360014039
"62",20.3050793541073,-31.3985011946828
"63",21.4209428976941,-31.6662520782955
"64",21.9898635621459,-31.5927068147647
"65",23.41550339702,-32.0416084263198
"66",26.6228888729488,-31.8317926026486
"67",26.8044377747523,-32.2927522764989
"68",28.0667306726694,-31.5548326614155
"69",28.7180444590107,-31.3460529949979
"70",18.5477064584792,-30.5112707875601
"71",19.8368697151708,-30.6852178367459
"72",20.6829289887689,-30.9152542989079
"73",21.4480168754715,-31.1241272967677
"74",22.1827668705812,-30.559356389572
"75",23.1274582409075,-30.2946486381151
"76",24.5491657095931,-31.1777636910141
"77",25.4147568168504,-30.2766457731378
"78",25.7990069332154,-30.4494858842832
"79",27.7158713385268,-30.8355915684528
"80",27.8769215228862,-31.0876507805244
"81",28.9793451695885,-30.8218348002122
"82",29.849892980636,-30.5982769282095
"83",-61.5450780474014,-29.2825078964406
"84",-60.0280570150451,-29.5724960286575
"85",-59.4282639704133,-29.9023841438289
"86",-57.3667718428967,-29.1812637222816
"87",17.6778450724953,-29.0667860403022
"88",18.8660645555388,-29.2257263964011
"89",19.5626799793503,-29.8491447533037
"90",20.1294999812358,-29.9583793812793
"91",20.9745247629497,-29.0111716149788
"92",21.9983363251098,-29.4633211214929
"93",22.8770349773813,-29.4809470335944
"94",24.3661510977039,-29.5622609426958
"95",25.2168441276421,-29.0724939264565
"96",25.8406791056412,-28.9597031594062
"97",27.4882692140704,-29.7661940181643
"98",27.9457326730901,-29.5340979142921
"99",-62.4541087234966,-28.6998860048256
"100",-61.4900706093715,-28.8289235040546
"101",-60.7245573514009,-28.4129498824122
"102",-58.9665600024979,-28.3326350941331
"103",-58.637656106822,-28.4799565548111
"104",-57.716162857043,-28.0210221265503
"105",16.8652157671476,-28.0388522249686
"106",17.5459084668985,-27.886629633835
"107",18.6468161751919,-28.4341339743811
"108",19.0893598337576,-28.0355767397853
"109",21.2553370201368,-28.1419805883708
"110",22.1667905822043,-28.6399455340875
"111",23.1310543858816,-28.1508957497353
"112",24.5194402270493,-28.1955367547571
"113",25.7475428080405,-28.1859132233156
"114",25.8756763942929,-28.2840820316971
"115",27.054833747455,-28.3553319445822
"116",28.585589077286,-27.9550422423939
"117",29.0143732213953,-28.0636354597633
"118",30.0304306494246,-28.2337198798149
"119",31.5870707375807,-28.2962519900928
"120",32.164412607032,-28.7673396033566
"121",-62.8533235172351,-27.0834381072772
"122",-62.3811993747333,-27.43840845273
"123",-61.4459833161596,-27.7812194275865
"124",-60.6619237402771,-26.8611542976653
"125",-59.0257037226294,-27.4112147216084
"126",-58.3625374004488,-27.2979753280376
"127",-57.1863122977194,-27.6030197986473
"128",-56.6733591102952,-27.706498365146
"129",-55.145567593286,-27.6990756219867
"130",-54.3572688784619,-26.831882386394
"131",15.9642515207826,-27.5763344717558
