Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T1288,1288,14.133417,-16.666670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1289,1289,15.076594,-16.760200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1290,1290,14.700091,-16.883330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1291,1291,13.833415,-15.416670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1292,1292,14.066757,-15.933330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1293,1293,9.4300555,-82.520000,0.151148,0.155388,0.158499,0.162014,0.169419,0.179368,0.184253,0.191763,0.200750,0.210539,0.216527,0.227031,0.235541,0.235541,0.235541
T1294,1294,40.753429,73.415270,0.814174,0.814174,0.814174,0.814070,0.814070,0.814070,0.814070,0.814070,0.814070,0.814070,0.814070,0.814070,0.814070,0.814070,0.814070
T1295,1295,40.994627,72.546030,0.969697,0.969697,0.969697,0.969697,0.969697,0.969171,0.969171,0.969171,0.969171,0.969171,0.969171,0.968750,0.968750,0.968750,0.968750
T1296,1296,41.053459,72.798270,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043,0.913043
T1297,1297,40.770429,73.300680,0.946191,0.946191,0.946191,0.946093,0.945962,0.945962,0.945930,0.945930,0.945930,0.945897,0.945897,0.945897,0.945897,0.945897,0.945897
T1298,1298,41.039428,72.590180,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
T1299,1299,40.706267,72.956950,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371,0.912371
T1300,1300,39.942464,70.930510,0.712787,0.712787,0.713240,0.713240,0.713240,0.713933,0.713933,0.713933,0.713933,0.713933,0.713933,0.713933,0.713996,0.713996,0.713996
T1301,1301,41.011917,72.815540,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838,0.837838
T1302,1302,31.430103,-7.4085400,0.575009,0.575009,0.575513,0.575990,0.576014,0.576038,0.575927,0.575927,0.575961,0.576608,0.576608,0.576608,0.576599,0.576599,0.576599
T1303,1303,39.037938,65.585000,0.769231,0.769231,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
T1304,1304,10.623463,125.05520,0.129016,0.134295,0.137017,0.139694,0.146764,0.152255,0.158372,0.163178,0.166996,0.175881,0.185145,0.194138,0.200171,0.200171,0.200171
T1305,1305,10.733394,125.01667,0.159177,0.162721,0.164714,0.166629,0.172149,0.175770,0.181127,0.184778,0.188189,0.194240,0.199326,0.207928,0.213154,0.213154,0.213154
T1306,1306,11.133677,124.83500,0.202581,0.206518,0.208578,0.210391,0.214718,0.218190,0.221344,0.222847,0.224077,0.227779,0.232067,0.237527,0.239683,0.239683,0.239683
T1307,1307,10.706064,125.00570,0.134698,0.138735,0.140988,0.142991,0.149410,0.153307,0.158945,0.162634,0.166017,0.172704,0.178463,0.188039,0.193297,0.193297,0.193297
