Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T1289,1289,15.076594,-16.760200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1290,1290,14.700091,-16.883330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1291,1291,13.833415,-15.416670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1292,1292,14.066757,-15.933330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1293,1293,9.4300555,-82.520000,16200.0,16200.0,16200.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,16200.0,17100.0,17100.0,17100.0
T1294,1294,40.753429,73.415270,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0
T1295,1295,40.994627,72.546030,18000.0,18000.0,18000.0,18000.0,18000.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0
T1296,1296,41.053459,72.798270,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0
T1297,1297,40.770429,73.300680,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0
T1298,1298,41.039428,72.590180,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,12600.0,12600.0,12600.0,12600.0
T1299,1299,40.706267,72.956950,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0
T1300,1300,39.942464,70.930510,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0
T1301,1301,41.011917,72.815540,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0
T1302,1302,31.430103,-7.4085400,27000.0,27000.0,27000.0,26100.0,26100.0,26100.0,25200.0,25200.0,25200.0,24300.0,24300.0,24300.0,24300.0,24300.0,24300.0
T1303,1303,39.037938,65.585000,58500.0,58500.0,27900.0,23400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
T1304,1304,10.623463,125.05520,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0
T1305,1305,10.733394,125.01667,20700.0,20700.0,20700.0,20700.0,18900.0,18900.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,21600.0,21600.0,21600.0
T1306,1306,11.133677,124.83500,18900.0,18900.0,19800.0,18900.0,19800.0,19800.0,19800.0,19800.0,19800.0,18900.0,19800.0,19800.0,19800.0,19800.0,19800.0
T1307,1307,10.706064,125.00570,20700.0,20700.0,20700.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
T1308,1308,8.1847678,125.30917,21600.0,21600.0,21600.0,21600.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0
T1309,1309,11.050066,125.01667,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0
