Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T1287,1287,15.050994,-15.715600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1288,1288,14.133417,-16.666670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1289,1289,15.076594,-16.760200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1290,1290,14.700091,-16.883330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1291,1291,13.833415,-15.416670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1292,1292,14.066757,-15.933330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1293,1293,9.4300555,-82.520000,8.05254e+006,8.03592e+006,8.02643e+006,8.13694e+006,7.98880e+006,7.40221e+006,7.38554e+006,7.25944e+006,7.32781e+006,7.18006e+006,7.14997e+006,6.91566e+006,6.78733e+006,6.78733e+006,6.78733e+006
T1294,1294,40.753429,73.415270,35300.0,35300.0,35300.0,35280.0,35280.0,35280.0,35280.0,35280.0,35280.0,35280.0,35280.0,35280.0,35280.0,35280.0,35280.0
T1295,1295,40.994627,72.546030,23355.0,23355.0,23355.0,23355.0,23355.0,22950.0,22950.0,22950.0,22950.0,22950.0,22950.0,22635.0,22635.0,22635.0,22635.0
T1296,1296,41.053459,72.798270,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0,15075.0
T1297,1297,40.770429,73.300680,24373.8,24373.8,24373.8,24329.5,24270.5,24270.5,24255.7,24255.7,24255.7,24241.0,24241.0,24241.0,24241.0,24241.0,24241.0
T1298,1298,41.039428,72.590180,16920.0,16920.0,16920.0,16920.0,16920.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,14040.0,14040.0,14040.0,14040.0
T1299,1299,40.706267,72.956950,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7,23785.7
T1300,1300,39.942464,70.930510,60503.6,60503.6,60487.5,60487.5,60487.5,60466.1,60466.1,60466.1,60466.1,60466.1,60466.1,60466.1,60460.7,60460.7,60460.7
T1301,1301,41.011917,72.815540,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0,16650.0
T1302,1302,31.430103,-7.4085400,151522.,151522.,151439.,151347.,150745.,150739.,150632.,150632.,150629.,150806.,150806.,150806.,150803.,150803.,150803.
T1303,1303,39.037938,65.585000,58500.0,58500.0,19350.0,17100.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0
T1304,1304,10.623463,125.05520,4.10945e+006,4.10335e+006,4.10036e+006,4.09657e+006,4.08594e+006,4.07893e+006,4.03610e+006,3.96120e+006,3.95486e+006,3.94089e+006,3.89469e+006,3.85044e+006,3.87310e+006,3.87310e+006,3.87310e+006
T1305,1305,10.733394,125.01667,2.74743e+006,2.74442e+006,2.74315e+006,2.72092e+006,2.71642e+006,2.71371e+006,2.68874e+006,2.70498e+006,2.70136e+006,2.69509e+006,2.68950e+006,2.68180e+006,2.69738e+006,2.69738e+006,2.69738e+006
T1306,1306,11.133677,124.83500,1.68183e+006,1.67910e+006,1.67249e+006,1.65544e+006,1.66295e+006,1.66058e+006,1.65843e+006,1.66264e+006,1.65673e+006,1.64346e+006,1.64045e+006,1.64275e+006,1.64158e+006,1.64158e+006,1.64158e+006
T1307,1307,10.706064,125.00570,3.40546e+006,3.40157e+006,3.39971e+006,3.37106e+006,3.36378e+006,3.35975e+006,3.32751e+006,3.34881e+006,3.34446e+006,3.33558e+006,3.32812e+006,3.31815e+006,3.33799e+006,3.33799e+006,3.33799e+006
T1308,1308,8.1847678,125.30917,1.31616e+006,1.31074e+006,1.30592e+006,1.30557e+006,1.31915e+006,1.30745e+006,1.30578e+006,1.29008e+006,1.29176e+006,1.29647e+006,1.29023e+006,1.26922e+006,1.27042e+006,1.27042e+006,1.27042e+006
T1309,1309,11.050066,125.01667,716179.,717556.,717161.,716915.,718868.,718534.,717999.,720115.,717405.,716403.,712948.,714659.,714254.,714254.,714254.
T1310,1310,8.1589376,125.28250,764538.,760885.,760123.,759967.,765951.,760674.,757366.,746385.,744445.,739655.,726452.,719318.,719320.,719320.,719320.
T1311,1311,8.1956078,125.14472,572019.,568274.,565640.,565573.,561475.,557046.,549763.,543576.,542408.,538324.,517376.,512213.,511938.,511938.,511938.
T1312,1312,10.640563,125.13880,7.02314e+006,7.01162e+006,7.00569e+006,6.99826e+006,6.97387e+006,6.95792e+006,6.76809e+006,6.42964e+006,6.41494e+006,6.38694e+006,6.36167e+006,6.33778e+006,6.31999e+006,6.31999e+006,6.31999e+006
T1313,1313,10.916735,124.45000,2.12200e+006,2.14225e+006,2.14015e+006,2.13831e+006,2.13616e+006,2.13258e+006,2.10891e+006,2.07977e+006,2.07910e+006,2.03125e+006,1.99270e+006,2.01131e+006,2.00921e+006,2.00921e+006,2.00921e+006
T1314,1314,38.478992,57.033450,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5,24787.5
