Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T973,973,36.819350,10.165790,0.00333086,0.00332963,0.00332593,0.00321481,0.00321481,0.00321481,0.00316296,0.00314691,0.00302469,0.00300617,0.00300247,0.00298272,0.00298272,0.00298272,0.00298272
T974,974,12.650077,-8.0000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T975,975,0.31628180,32.582190,0.350516,0.349778,0.349725,0.349504,0.349133,0.348099,0.346523,0.345090,0.344301,0.343580,0.342685,0.338706,0.338532,0.338532,0.338532
T976,976,38.895544,-77.036370,0.334235,0.333286,0.332769,0.332548,0.331919,0.331414,0.331031,0.330693,0.330342,0.330112,0.329546,0.329390,0.329043,0.329042,0.329042
T977,977,-21.139525,-175.20180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1276,1276,38.478992,57.033450,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988
T1277,1277,0.052870300,40.310550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1278,1278,13.053780,-86.590040,0.532506,0.530116,0.529412,0.527538,0.524819,0.523886,0.521802,0.519193,0.518101,0.516084,0.512257,0.511885,0.508954,0.508954,0.508954
T1279,1279,12.726837,-86.380570,0.396616,0.393379,0.392788,0.388416,0.387704,0.387151,0.385438,0.383538,0.382596,0.380980,0.378960,0.378851,0.377267,0.377265,0.377265
T1280,1280,12.505046,-86.299420,0.287344,0.285812,0.285533,0.282778,0.281989,0.281480,0.280390,0.277793,0.276689,0.274101,0.272315,0.272212,0.271199,0.271199,0.271199
T1281,1281,13.229641,-86.867440,0.447568,0.445535,0.444326,0.443780,0.441863,0.440767,0.439026,0.437283,0.436216,0.434537,0.432258,0.432128,0.430104,0.430102,0.430102
T1282,1282,13.199311,-86.771700,0.480549,0.478704,0.477593,0.476407,0.473398,0.472249,0.470549,0.468006,0.466437,0.464769,0.461635,0.461496,0.459296,0.459296,0.459296
T1283,1283,12.886948,-86.539030,0.477754,0.473746,0.472728,0.470078,0.466180,0.464564,0.461737,0.458369,0.456873,0.454821,0.450747,0.450533,0.447290,0.447289,0.447289
T1284,1284,12.801238,-86.369940,0.444159,0.442085,0.441528,0.437923,0.437283,0.436828,0.434969,0.433179,0.432346,0.431189,0.429536,0.429484,0.427991,0.427991,0.427991
T1285,1285,14.483420,-16.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1286,1286,14.850092,-15.883330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1287,1287,15.050994,-15.715600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1288,1288,14.133417,-16.666670,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006,2.46914e-006
T1289,1289,15.076594,-16.760200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1290,1290,14.700091,-16.883330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1291,1291,13.833415,-15.416670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1292,1292,14.066757,-15.933330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1293,1293,9.4300555,-82.520000,0.743137,0.741599,0.740722,0.739711,0.737225,0.734065,0.732415,0.729906,0.726700,0.721943,0.718914,0.714419,0.710516,0.710515,0.710515
T1294,1294,40.753429,73.415270,0.00221235,0.00221235,0.00221235,0.00221111,0.00221111,0.00221111,0.00221111,0.00221111,0.00221111,0.00221111,0.00221111,0.00221111,0.00221111,0.00221111,0.00221111
T1295,1295,40.994627,72.546030,0.000651852,0.000651852,0.000651852,0.000651852,0.000651852,0.000640741,0.000640741,0.000640741,0.000640741,0.000640741,0.000640741,0.000632099,0.000632099,0.000632099,0.000632099
T1296,1296,41.053459,72.798270,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005,8.51852e-005
T1297,1297,40.770429,73.300680,0.00204198,0.00204198,0.00204198,0.00203827,0.00203333,0.00203333,0.00203210,0.00203210,0.00203210,0.00203086,0.00203086,0.00203086,0.00203086,0.00203086,0.00203086
T1298,1298,41.039428,72.590180,0.000116049,0.000116049,0.000116049,0.000116049,0.000116049,0.000104938,0.000104938,0.000104938,0.000104938,0.000104938,0.000104938,9.62963e-005,9.62963e-005,9.62963e-005,9.62963e-005
T1299,1299,40.706267,72.956950,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506,0.000239506
T1300,1300,39.942464,70.930510,0.0140000,0.0140000,0.0139963,0.0139963,0.0139963,0.0139914,0.0139914,0.0139914,0.0139914,0.0139914,0.0139914,0.0139914,0.0139901,0.0139901,0.0139901
T1301,1301,41.011917,72.815540,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005,4.56790e-005
T1302,1302,31.430103,-7.4085400,0.0587173,0.0587173,0.0586852,0.0586494,0.0586235,0.0586210,0.0583728,0.0583728,0.0583716,0.0582333,0.0582333,0.0582333,0.0582321,0.0582321,0.0582321
T1303,1303,39.037938,65.585000,8.02469e-005,8.02469e-005,5.30864e-005,4.69136e-005,4.44444e-005,4.44444e-005,4.44444e-005,4.44444e-005,4.44444e-005,4.44444e-005,4.44444e-005,4.44444e-005,4.44444e-005,4.44444e-005,4.44444e-005
T1304,1304,10.623463,125.05520,0.661779,0.660799,0.660315,0.659706,0.657999,0.656868,0.655528,0.654272,0.653228,0.650923,0.648648,0.646581,0.645054,0.645054,0.645054
T1305,1305,10.733394,125.01667,0.500143,0.499599,0.499369,0.499075,0.498254,0.497761,0.496889,0.496158,0.495496,0.494343,0.493323,0.491915,0.491056,0.491054,0.491054
T1306,1306,11.133677,124.83500,0.725386,0.724206,0.723658,0.723122,0.721819,0.720795,0.719860,0.719393,0.719121,0.717886,0.716575,0.715317,0.714806,0.714806,0.714806
T1307,1307,10.706064,125.00570,0.596020,0.595342,0.595017,0.594648,0.593364,0.592653,0.591554,0.590730,0.589965,0.588405,0.587093,0.585326,0.584228,0.584227,0.584227
T1308,1308,8.1847678,125.30917,0.741844,0.740590,0.739673,0.739468,0.738078,0.736933,0.735995,0.734260,0.733441,0.732542,0.729031,0.727654,0.726595,0.726594,0.726594
T1309,1309,11.050066,125.01667,0.289133,0.288701,0.288543,0.288444,0.288241,0.288106,0.287890,0.287744,0.287649,0.287247,0.286842,0.286546,0.286384,0.286384,0.286384
T1310,1310,8.1589376,125.28250,0.638689,0.637737,0.637096,0.636967,0.635651,0.634417,0.632698,0.629709,0.629100,0.628115,0.622904,0.621749,0.620762,0.620761,0.620761
T1311,1311,8.1956078,125.14472,0.553011,0.552514,0.550738,0.550672,0.548996,0.546968,0.545122,0.541989,0.541573,0.539726,0.531564,0.530495,0.529505,0.529505,0.529505
T1312,1312,10.640563,125.13880,0.377090,0.376473,0.376153,0.375756,0.374449,0.373595,0.372723,0.371793,0.370946,0.369331,0.367868,0.366483,0.365456,0.365456,0.365456
T1313,1313,10.916735,124.45000,0.280119,0.279846,0.279573,0.279333,0.279052,0.278586,0.278394,0.277406,0.277317,0.276522,0.274019,0.273812,0.273527,0.273527,0.273527
T1314,1314,38.478992,57.033450,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988,0.000820988
