Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T1307,1307,10.706064,125.00570,2.29609e+008,2.29332e+008,2.29254e+008,2.29138e+008,2.28808e+008,2.28620e+008,2.28317e+008,2.28163e+008,2.28118e+008,2.27797e+008,2.27575e+008,2.26967e+008,2.26778e+008,2.26778e+008,2.26778e+008
T1308,1308,8.1847678,125.30917,5.12163e+008,5.11298e+008,5.10645e+008,5.10501e+008,5.09693e+008,5.08928e+008,5.08284e+008,5.07080e+008,5.06531e+008,5.06047e+008,5.03840e+008,5.02853e+008,5.02219e+008,5.02219e+008,5.02219e+008
T1309,1309,11.050066,125.01667,1.14001e+008,1.13815e+008,1.13764e+008,1.13716e+008,1.13659e+008,1.13617e+008,1.13532e+008,1.13494e+008,1.13479e+008,1.13338e+008,1.13236e+008,1.13122e+008,1.13061e+008,1.13061e+008,1.13061e+008
T1310,1310,8.1589376,125.28250,2.41839e+008,2.41394e+008,2.41122e+008,2.41046e+008,2.40574e+008,2.40180e+008,2.39833e+008,2.39424e+008,2.39172e+008,2.38957e+008,2.37969e+008,2.37550e+008,2.37257e+008,2.37257e+008,2.37257e+008
T1311,1311,8.1956078,125.14472,3.15113e+008,3.14683e+008,3.13597e+008,3.13558e+008,3.12551e+008,3.10771e+008,3.09605e+008,3.07669e+008,3.07371e+008,3.06014e+008,2.99083e+008,2.98531e+008,2.97999e+008,2.97999e+008,2.97999e+008
T1312,1312,10.640563,125.13880,2.72194e+008,2.71745e+008,2.71514e+008,2.71227e+008,2.70280e+008,2.69661e+008,2.69031e+008,2.68282e+008,2.67664e+008,2.66494e+008,2.65433e+008,2.64448e+008,2.63705e+008,2.63705e+008,2.63705e+008
T1313,1313,10.916735,124.45000,1.92555e+008,1.92373e+008,1.92179e+008,1.92010e+008,1.91826e+008,1.91492e+008,1.91341e+008,1.90613e+008,1.90548e+008,1.87678e+008,1.85812e+008,1.85685e+008,1.85480e+008,1.85480e+008,1.85480e+008
T1314,1314,38.478992,57.033450,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0,66600.0
T1315,1315,37.663911,61.660070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1316,1316,-17.977337,35.703330,2.44641e+008,2.42418e+008,2.40954e+008,2.40287e+008,2.40042e+008,2.38635e+008,2.37760e+008,2.36283e+008,2.35884e+008,2.33934e+008,1.54814e+008,1.54128e+008,1.53682e+008,1.53682e+008,1.53682e+008
T1317,1317,-17.489003,35.239720,4.10130e+007,4.09833e+007,4.08726e+007,4.07529e+007,4.06611e+007,4.04631e+007,4.03542e+007,4.01481e+007,4.00653e+007,3.97125e+007,3.91410e+007,3.89898e+007,3.89745e+007,3.89745e+007,3.89745e+007
T1318,1318,-17.327051,35.584170,1.00409e+008,1.00282e+008,9.99126e+007,9.93816e+007,9.86292e+007,9.61254e+007,9.54225e+007,9.35685e+007,9.27423e+007,9.23616e+007,9.05499e+007,8.98308e+007,8.92485e+007,8.92485e+007,8.92485e+007
