"","X","pre_average_NTL","pre_average_LTDR","pre_max_LTDR","pre_min_temp","pre_max_temp","pre_average_temp","pre_max_precip","pre_min_precip","pre_average_precip","post_implementation_time","year","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","treatment","latitude","longitude","total_disbursements","MultiFocal","cover_outcome","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","preFrag_avg","mean_patch_size2014","pred_trt"
"1",1,0.565978267430633,2125.00897020032,7333.38252898129,15.7532258064516,18.7935483870968,17.2938844086021,322.318548387097,12.8411290322581,110.462231182796,2,2012,4020.16796875,7755.15966796875,2916.85361964,6.20409822464,661.682460515,43.2056655883789,1,46.1302671179,1,-0.10187057865626,37.34005,5047445.99233,1,0.00302728181447744,380.15,20.175,131.535416666667,18.625,15.825,17.1875,0.904069767442,2258.37817383,748091.384615385,741352,-57708.7539117459
"2",14,0.336891480730213,2920.20538799577,6815.83811598538,19.6432692307692,24.4865384615385,22.3688301282051,235.941346153846,7.18846153846154,69.1029647435897,7,2007,2099.66674804688,2363.69384765625,927.155938538,4.75147438049,277.59643436,7.4622917175293,0,27.3082821114,1,-12.8799983166436,-41.40095,10755001.0755,1,0.0275760585369895,354.5,1.125,75.7916666666667,23.85,19.975,22.2479166666667,0.40892494929,3324.32128906,333341.125,329755,-57708.7539117459
"3",96,0.800473718006316,1554.50066928103,5641.70376481586,25.6724137931034,28.9827586206897,27.3146551724138,390.201724137931,2.88448275862069,147.229597701149,4,2010,2456.02978515625,298008.09375,2.38115384615,0.116362050176,284.137600806,227.099945068359,2,12.9259582996,1,9.28584463761423,104.93935,4504572.50629,1,0.0304417210588125,431.8,0,149.616666666667,29.9,26.15,27.8916666666667,0.845648604269,1684.20043945,359162.090909091,341240,-57708.7539117459
"4",216,0,2457.79390305731,6691.70008263192,25.9836538461538,33.5115384615385,29.0809294871795,277.996153846154,0.00576923076923077,75.0585737179487,7,2007,2277.71923828125,3890.89965820312,80.0900414938,0.835217416286,353.574502639,4.50893211364746,2,12.5596511568,1,13.0077692020178,-12.91459,3914820.39148,0,0.229885057471264,239.25,0,71.3041666666667,34.125,27.2,29.7604166666667,0,2655.80004883,0,0,-57708.7539117459
"5",367,0.733404161327314,1729.74087622871,7267.42367061484,19.4870967741935,21.7725806451613,20.7405913978495,583.279032258064,73.8016129032258,301.648051075269,2,2012,2628.15991210938,8210.9306640625,1984.81590002,13.8069210052,503.946289463,41.104175567627,2,85.5370883693,1,9.51613609228722,-83.46728,4439882.89925,1,0.00123283352173911,590.425,117.725,313.775,22.15,20.35,21.1916666666667,0.967993434551,1839.05249023,19837800,19821000,98662106.503639
"6",372,11.3185943939343,1673.49166377871,6912.9207251771,21.5516129032258,24.0274193548387,22.8360887096774,599.152419354839,120.906451612903,350.59563172043,2,2012,3030.38793945312,1508.35595703125,1069.56544064,6.96079158783,242.371463715,457.8955078125,0,77.2812808353,1,10.1599601999085,-83.97442,4439882.89925,1,0.00314994697089132,511.85,131.975,309.852083333333,24.55,22.7,23.5395833333333,11.9002452984,1782.67285156,13485607.6923077,12429100,98662106.503639
"7",369,0.241141621000062,1534.18792134032,5973.80249811,27.4032258064516,29.5225806451613,28.4397849462366,800.003225806452,127.745161290323,428.459946236559,2,2012,71855.6015625,6050.13037109375,173.188047809,4.45905542374,519.798891528,15.9580755233765,0,47.1342399412,1,8.54244999096144,-83.57094,4439882.89925,1,0.00334814468350483,722.6,172.5,419.041666666667,30.2,27.9,28.9833333333333,0.314439387671,1654.49926758,27783330.7692308,25153400,98662106.503639
"8",16,2.31821428571438,2833.22242149846,7055.42027869577,19.8942307692308,25.0365384615385,22.8960737179487,194.175,9.14711538461538,61.8651442307692,7,2007,1985.58483886719,1587.99926757812,588.985286445,3.61463165283,166.399348003,25.7355804443359,0,33.9171708764,1,-11.3814081721394,-40.52225,10755001.0755,1,0.0567836308004482,282.375,0,65.4479166666667,24.75,20.325,22.99375,2.14693877551,2954.69628906,678397.25,627318,-57708.7539117459
"9",330,0.0734857651157647,2430.09140119931,7702.29849137931,12.6594827586207,26.2137931034483,20.5742816091954,383.422413793103,6.7198275862069,139.120114942529,4,2010,2070.662109375,2743.59692382812,531.381506309,10.2905931473,256.57953668,57.0726203918457,0,64.941693459,1,22.4054370153792,105.61528,685818.315172,1,0.0115261728642603,363.975,23,142.960416666667,26,13.5,20.8208333333333,0.0793222949557,2412.78076172,3659011.81818182,3632620,10802200.355092
"10",334,1.58168904084985,1754.02452392567,4678.92434081967,7.925,27.8925,17.2397916666667,90.695,5.47,37.1681944444444,3,2011,2897.33251953125,3273.50341796875,537.700918385,3.36910700798,154.462321792,67.7230377197266,0,3.11015424484,1,35.9925312277788,9.61578,4933399.11199,1,0.0195749892334195,80.6,10.075,33.2625,27.55,7.825,17.7958333333333,1.93269884432,1550.08630371,197772.25,189799,-57708.7539117459
"11",378,3.1589145631701,2253.40485997355,7360.09111958129,23.4258064516129,25.8838709677419,24.7280913978495,625.445161290323,113.012096774194,355.569623655914,2,2012,1690.84692382812,1334.6376953125,229.234770777,2.03895807266,272.307692308,72.6306076049805,0,72.3392174231,1,10.4220618901335,-84.015,4439882.89925,1,0.00878492069587654,572.275,119.475,327.25625,26.3,24.55,25.3125,3.6552006552,2338.38183594,5083043.84615385,4878020,98662106.503639
"12",377,8.06691787446095,1728.51969269742,6874.63555317548,21.2435483870968,23.8435483870968,22.5568548387097,578.477419354839,109.595161290323,327.913440860215,2,2012,2763.05859375,1832.04370117188,1801.98729659,9.89224529266,176.450225317,165.225555419922,1,74.156904854,1,9.75882763347585,-83.78379,4439882.89925,1,0.00223315845253653,496.05,131.9,286.129166666667,24.35,22.35,23.3125,8.68265682657,1848.78027344,8293407.69230769,7828350,98662106.503639
"13",374,3.458128750682,2895.38330078129,7154.09091481903,24.3854838709677,27.8193548387097,25.7564516129032,443.151612903226,11.0822580645161,173.719623655914,2,2012,6661.8427734375,584.395080566406,56.9660837308,1.67684173584,306.650352551,27.2490615844727,0,25.4311958374,1,10.3834216402756,-85.33424,4439882.89925,1,0.00454170756053952,395.15,10.8,150.975,28.55,24.95,26.25,3.81219312602,3349.36108398,532484.153846154,535988,98662106.503639
"14",371,3.46623004502567,2786.03849546452,7400.95161290355,25.7,29.6387096774194,27.2424731182796,431.838709677419,0.0290322580645161,138.060483870968,2,2012,14146.318359375,389.419830322266,188.162906186,4.77662372589,377.505089059,32.9350929260254,1,48.0653459393,1,10.1731202845197,-85.59361,4439882.89925,1,0.00355337288316891,375.1,0,114.958333333333,30.4,26.1,27.7333333333333,3.96602537863,3155.07446289,2192376.15384615,2132680,98662106.503639
"15",373,1.51225531570767,2132.93873645419,6173.56749306968,25.2806451612903,27.7983870967742,26.7130376344086,685.104838709677,140.595161290323,397.986021505376,2,2012,1829.72412109375,4749.77001953125,29.1359663321,0.586491167545,357.638888889,50.9527854919434,1,46.9858681152,1,10.4490020644757,-83.50683,4439882.89925,1,0.00584581739297855,662.35,159.55,374.141666666667,28.25,26.35,27.2583333333333,1.77514309076,2194.98681641,4733762.30769231,4491770,98662106.503639
"16",2,6.11535364458,3163.503352865,8138.58273112067,22.5225,25.4816666666667,23.9197916666667,302.235,2.16833333333333,124.423263888889,3,2011,2494.85668945312,2274.74096679688,714.205794948,1.9738625288,108.086506623,293.896423339844,0,56.9729635048,1,3.86669209795875,11.51667,804144.055254,1,0.0668620722791054,243.55,0,130.691666666667,25.225,22.675,23.91875,5.70866141732,3185.63208008,3616945,3277820,2540877.37353648
"17",90,25.0013055824947,1562.82743046241,4758.19137257586,10.6218390804598,27.8195402298851,18.7109195402299,123.026436781609,1.3264367816092,42.8804597701149,4,2010,1967.85632324219,2400.27783203125,49.4090279996,1.01523458958,35.7815371763,884.108825683594,0,0.674546978629,1,36.8193503194876,10.16579,10190695.7251,1,0.0125830805962444,95.3,8,35.7944444444444,27.4333333333333,10.6,19.4166666666667,24.9983198925,1351.11291504,36443.8181818182,35895,-57708.7539117459
"18",206,6.99228337416211,2177.35614224103,5843.5889345369,24.3612068965517,32.3206896551724,27.7600574712644,287.319827586207,0.0163793103448276,75.9942528735632,4,2010,2162.921875,2541.40283203125,395.733852544,1.72802114487,71.8986156352,252.36018371582,0,3.10187588566,1,12.6500767318695,-8,8487007.54401,0,NA,327.25,0,59.01875,32.375,25.475,28.0270833333333,7.31040064751,2337.32958984,0,0,-57708.7539117459
"19",241,9.02909687109611,2951.89766148214,7424.31879534,20.80625,23.4723214285714,22.0115327380952,219.388392857143,25.2964285714286,105.160491071429,5,2009,2432.09619140625,1858.03857421875,1170.66517905,1.69032907486,41.4910677192,902.174926757812,0,32.7507279141,1,0.316281796643515,32.58219,7408191.343,1,0.039755666986878,209.15,10.25,100.941666666667,24.375,21.375,22.5145833333333,11.4946058091,2963.89208984,385465.5,372833,-57708.7539117459
"20",407,1.61073256840455,887.470421200762,3547.72126116048,NA,NA,NA,NA,NA,NA,12,2002,16056372,842.952758789062,18.445,0.430069327354,4643.70422535,249.304351806641,0,0,1,-21.139524679273,-175.2018,1756880,1,NA,NA,NA,NA,NA,NA,NA,1.33669902913,925.169128418,0,0,98662106.503639
"21",3,0.724768775848722,1319.31996372714,3628.47632707929,0.453571428571429,28.04375,14.3957589285714,56.7651785714286,3.07946428571429,21.0520089285714,5,2009,2568.24560546875,2927.17529296875,867.239855499,5.20108747482,229.042861853,5.66164016723633,0,0.277050445369,1,38.4789922623418,57.03345,3032066.88538,0,8.21557673348669e-05,59.275,2.575,24.8770833333333,28.05,-2.775,14.7333333333333,1.30711242216,1421.82897949,24787.5,24787.5,-57708.7539117459
"22",10,0.152908124025925,1567.74327799533,4726.18334960933,26.48,30.58,28.4725694444444,139.299166666667,0.129166666666667,33.1383333333333,3,2011,2559.57250976562,5928.611328125,134.524883028,0.15490975976,318.225592023,50.7365493774414,0,0.0301684523334,1,0.052870300318655,40.31055,2990364.08485,0,NA,190.75,0,58.7708333333333,31.35,26.425,28.4875,0.0781379883624,1593.8963623,0,0,-57708.7539117459
"23",41,0.391350944270571,2842.45390828375,7407.89461262958,22.203125,25.3083333333333,23.5610243055556,294.692708333333,1.203125,86.4881944444444,9,2005,1819.4658203125,636.318786621094,479.907280647,5.72665309906,111.540704739,52.3702583312988,0,34.2911226641,1,13.0537795216731,-86.59004,3553660.27008,0,0.0296292335391779,234.7,1.7,72.3875,25.075,22.675,23.78125,0.431467964315,3090.06591797,669446.333333333,594928,98662106.503639
"24",43,0.172952149229413,2626.56883748292,7192.84985351583,25.4361111111111,28.7833333333333,26.8061342592593,315.6625,1.08888888888889,95.2230324074074,9,2005,2016.43823242188,439.270935058594,359.696026559,4.41652536392,119.889699919,40.0133056640625,0,27.7272345912,1,12.7268372597591,-86.38057,3553660.27008,0,0.0348133877729005,328.666666666667,1.7,86.5583333333333,28.5666666666667,26.1333333333333,27.1555555555556,0.25304136253,2841.29052734,363411.833333333,342693,98662106.503639
"25",45,0.0683242427759464,2192.59806823792,6592.92338053333,25.8541666666667,29.2072916666667,27.2129340277778,327.571875,1.171875,98.3087673611111,9,2005,1927.20275878906,1337.6982421875,169.481027134,2.1210641861,109.441463415,35.1600875854492,0,21.3901033288,1,12.5050457377075,-86.29942,3553660.27008,0,0.0422806214096431,338.55,1.3,88.9229166666667,29.05,26.625,27.6145833333333,0.0832656376929,2367.1640625,465220,433009,98662106.503639
"26",42,0.550135971764179,3087.29567464167,7367.23061116542,25.5486111111111,28.8694444444444,27.0184027777778,377.115277777778,0.395833333333333,109.929513888889,9,2005,2082.2578125,1810.72900390625,525.492226368,5.65143442154,112.294379296,73.1250152587891,1,31.9370095764,1,13.2296407475703,-86.8674399999999,3553660.27008,0,0.0323043625616728,297.433333333333,0,91.5083333333333,29.4,25.9333333333333,27.6,0.670311867153,3427.24023438,335831.166666667,317499,98662106.503639
"27",44,0.441174770191171,3038.07267252542,7394.23197428375,24.5083333333333,27.5854166666667,25.8243055555556,343.347916666667,0.477083333333333,100.506076388889,9,2005,1756.95263671875,1448.39208984375,531.870349259,5.70048046112,115.278947368,57.430248260498,0,31.3302704923,1,13.1993105356763,-86.7717,3553660.27008,0,0.0280797687113788,247.8,0,82.1541666666667,27.85,25.15,26.3916666666667,0.632537434237,3351.18603516,432314.333333333,397003,98662106.503639
"28",46,0.221608741136714,2769.63263956792,7376.9247029625,22.203125,25.3083333333333,23.5610243055556,294.692708333333,1.203125,86.4881944444444,9,2005,1958.34692382812,498.861480712891,373.4875467,4.94736719131,113.289825699,46.7592315673828,0,32.4659374276,1,12.8869483647163,-86.53903,3553660.27008,0,0.0310048740590137,234.7,1.7,72.3875,25.075,22.675,23.78125,0.315703824247,3005.77563477,475729.666666667,410938,98662106.503639
"29",40,0.462605723554857,2612.68048095708,7232.56097412167,22.1041666666667,25.3013888888889,23.4938657407407,288.172222222222,1.53611111111111,86.7643518518518,9,2005,2098.43627929688,403.437194824219,473.024501661,5.2549161911,109.779131141,49.3035621643066,0,28.4721434786,1,12.8012377725593,-86.3699399999999,3553660.27008,0,0.0277228879386228,233.7,2.26666666666667,73.3194444444444,24.9333333333333,22.6333333333333,23.65,0.598540145985,2809.53857422,404916.666666667,382662,98662106.503639
"30",61,0.513888667969947,1841.39605081483,4640.84193157207,24.4646551724138,29.5336206896552,27.5681034482759,238.185344827586,0,49.2291666666667,4,2010,1745.77600097656,438.784057617188,12.4576026408,0.168087288737,124.369124797,179.43359375,0,0.320168894034,1,14.4834196854763,-16.4,5029337.80386,0,NA,199.65,0,51.9854166666667,29.275,25.225,27.90625,0.624647603705,1917.67614746,0,0,-57708.7539117459
