"","V1","V2"
"1",-70.0115275836782,-49.3528028398187
"2",-69.5153194086796,-49.4352909577038
"3",-68.1849092355582,-49.3178346917842
"4",-70.5155531786957,-48.064334539938
"5",-69.0414806939323,-47.6923836493872
"6",-67.8540920146668,-48.996945973219
"7",-67.0250885302572,-48.4196041584928
"8",-66.5144157665922,-47.8090574024316
"9",-71.765708577015,-47.2962828725452
"10",-70.8073703936684,-46.5176121706708
"11",-70.4884143431575,-46.4866980469754
"12",-69.5344157806884,-46.9673964944601
"13",-68.0680077793415,-46.8023497367261
"14",-67.0122132143701,-46.8433227974058
"15",-66.7626491003339,-47.3913463134163
"16",-72.2300479960523,-45.598165655288
"17",-71.4171357934301,-46.169318988463
"18",-70.511168463009,-45.4859605395821
"19",-69.0525013085027,-44.9108834446233
"20",-68.5553040778788,-46.0484349306941
"21",-67.5245097042207,-45.6389951168192
"22",-71.1514789907708,-44.442937191509
"23",-70.683866569913,-44.6426077595029
"24",-69.7500797194485,-44.386467303979
"25",-68.4583927463671,-44.1712061389569
"26",-66.9965390160189,-43.8540405946571
"27",-65.9309039780086,-43.5977612275873
"28",-65.5831354353753,-44.4690907344767
"29",-72.0501395095827,-42.3393722493834
"30",-70.8363647848422,-42.3606216016431
"31",-70.7066186082059,-42.3349009770002
"32",-68.8843637505819,-42.7927509545865
"33",-67.061838805051,-43.1834661704059
"34",-66.8045985995728,-42.9664200037674
"35",-65.5303508699276,-43.3618801404191
"36",-71.0819134312914,-41.2206427884105
"37",-69.9825199870196,-41.5073399242081
"38",-69.4997653330695,-41.4428048297654
"39",-68.435077516511,-41.0883423321232
"40",-67.6309250301968,-41.4612186523516
"41",-66.3338836421151,-41.3961457042003
"42",-65.3940999753583,-42.0003555902122
"43",-70.935846860089,-39.8873155424693
"44",-70.2930033546227,-40.8253648356253
"45",-69.2158763709254,-40.1267065386066
"46",-67.9936422900683,-40.2832870933605
"47",-66.9380990265382,-40.1336039356953
"48",-66.0039800024025,-39.8415877164035
"49",-65.7088206271819,-40.024373645063
"50",-64.795842693479,-40.6006669596981
"51",-68.9614628573897,-38.4617620748893
"52",-68.6041754354267,-38.9770468063756
"53",-67.7944786281835,-38.5308599795094
"54",-66.5079083722732,-38.8792742459383
"55",-67.2836158163534,-38.1715382883018
"56",18.0131972658561,-32.6571048504798
"57",18.9914975404969,-33.1705653639113
"58",19.2709979224888,-32.6263325289811
"59",20.3427468869104,-33.2729182401536
"60",27.7231634551119,-32.6229650445381
"61",18.7513871560905,-31.7079893359938
"62",19.8923018094175,-31.5163456872124
"63",20.7576698602521,-32.0754171128468
"64",21.8845845313057,-32.0249023502036
"65",22.1341956139814,-32.2825567788336
"66",27.8291201429999,-31.6000807063724
"67",28.7054117963878,-31.6399398170895
"68",17.9184856182656,-30.4105960933444
"69",18.7877052096178,-30.2802086019383
"70",19.5452650002248,-30.3154415322228
"71",20.6623701411959,-31.1462706734105
"72",21.1445404308305,-30.9023250735789
"73",22.6755699691278,-30.3139788678309
"74",23.7987098603149,-30.550717786114
"75",24.7201377530757,-31.0745682259395
"76",25.4609449087203,-30.4682974408717
"77",26.3597809194161,-30.5253375379995
"78",27.6768386390454,-30.9258195970609
"79",28.3240382380367,-31.3070826731156
"80",28.9671031662855,-30.4238461278301
"81",30.4585003999867,-30.2360306382817
"82",-60.9413318255909,-29.601300935624
"83",18.171608680044,-29.8903188973605
"84",19.0678627690644,-29.5695917110662
"85",19.7986890334514,-29.6530656411415
"86",20.6506209014566,-30.0561977659018
"87",21.9438100758732,-30.1167499202665
"88",22.1030734000317,-29.1811016238288
"89",23.50055620957,-29.996208225735
"90",24.5877765226712,-29.1057850827565
"91",25.0583016207873,-29.6903779124495
"92",26.7238075723501,-30.0298275759383
"93",27.1596571266642,-29.5122194652415
"94",28.4417889620468,-29.7943956024444
"95",29.664031961715,-29.7716180720367
"96",29.9747999320956,-29.5422549053608
"97",31.5899955520325,-29.1974384957639
"98",-62.3615143468343,-28.1772017410669
"99",-61.3410948736054,-28.835077090746
"100",-61.0773254096787,-28.964802528535
"101",-60.0688206622333,-28.2835816575369
"102",-58.658830191949,-28.4969930277143
"103",-58.0405563199308,-28.5289971552749
"104",-56.885346111341,-28.0122435503701
"105",-56.0091731067914,-28.3850198714458
"106",16.8211004848352,-28.2360899913451
"107",17.9057908465825,-28.4947742074854
"108",18.7077135416581,-28.0762541018716
"109",19.7811507788106,-28.177896343508
"110",20.5960110657114,-28.8013654859585
"111",21.7880028343644,-28.9293861687176
"112",22.9863969246531,-28.727593931946
"113",23.9758824507658,-28.7070172011241
"114",24.7430672624099,-28.0641745099442
"115",25.749851378555,-28.1861827166371
"116",26.1909581589569,-28.7152841388645
"117",27.0193758121251,-28.320055948052
"118",28.0639067477089,-27.9910840725864
"119",31.135215476122,-28.5941423351636
"120",31.835193640523,-28.3103043223854
"121",-63.1796620829089,-27.2647794609577
"122",-62.9840883193748,-27.1864807110359
"123",-61.2479153697002,-27.1479063673563
"124",-60.5295674340653,-27.6628822746326
"125",-59.5468261016706,-27.7404978450091
"126",-58.3807239721236,-27.2431147427445
"127",-57.5313040852908,-27.5590359062726
"128",-57.0838514301973,-27.5866555337289
"129",-55.920305526589,-26.9160669817274
"130",15.9932625600191,-27.9010243514446
"131",16.5666122181631,-26.8909724825951
"132",17.4784983781111,-27.4591965390518
"133",18.8893456126351,-27.9288494261461
"134",19.5184234834486,-26.9109509135288
"135",22.9432921264257,-26.9016180877005
"136",23.4018187489406,-27.3034497644226
"137",24.7305189665981,-27.9620624115455
"138",24.9780345812413,-27.5369283482113
"139",26.2927648125393,-27.7442827169808
"140",26.8965154193007,-27.5957826044106
"141",28.0316594694707,-27.0682201333998
"142",29.6292755796668,-26.9929894896154
"143",30.0344681509591,-27.2324614795149
"144",31.005327338947,-27.0639760175337
"145",32.4360743642957,-27.0155107863297
"146",-65.9236831229077,-26.242729475747
"147",-64.2783419313643,-25.9677991455198
"148",-63.4388192381849,-26.6256039390074
"149",-62.8176942858475,-26.4854398299825
"150",-61.8722811313809,-25.7920850703262
"151",-60.4181636796525,-26.257121400995
"152",-59.1488314293699,-26.0557696796546
"153",-58.3696389311887,-26.7797347030498
"154",-57.43707456776,-26.6452774944406
"155",-57.0922899835565,-26.7352482041025
"156",-56.0316319986669,-26.7298859191162
"157",-54.5519529552962,-26.8353667454187
"158",16.5724261836352,-26.4896381874124
"159",17.7004764395238,-26.6766820451907
"160",18.6205166439027,-26.1308086361043
"161",19.4596033035634,-25.9479549159017
"162",21.0045913646818,-26.1733585452991
"163",21.4304621068213,-25.9578209770092
"164",22.9231743629529,-26.7160815581733
"165",23.1465318688844,-26.6784903499383
"166",24.9410545720596,-26.7501025791658
"167",25.3849539567163,-26.3765636877768
"168",26.4051321489726,-26.4037343338313
"169",27.3462793997576,-26.1466523222039
"170",28.5209120718435,-26.1658945818905
"171",29.3804695263197,-26.5584122905184
"172",30.5187196807041,-26.5621824596641
"173",32.6538634217637,-26.6570136982298
"174",-66.1592630805022,-25.1016124587337
"175",-65.8953720714697,-24.8865720801166
"176",-64.6297324615237,-25.4010632155895
"177",-63.6630890737494,-25.3859310064144
"178",-62.690217248186,-25.6636730122864
"179",-61.7062834208435,-25.3226563535162
"180",-60.6760949153129,-25.4401458638742
"181",-59.3654489668165,-25.5323973897226
"182",-58.8824183691837,-25.3686737826416
"183",-57.2208416399507,-24.9051763358279
"184",-56.3386798088818,-25.6093461518153
"185",-56.1417901337144,-24.868835304552
"186",-54.6688850391638,-24.8469703178709
"187",16.9208268419741,-25.592122650917
"188",18.0623257518138,-25.2545840176538
"189",19.0977061487348,-25.4326235078396
"190",19.9607057237317,-25.1188924778009
"191",20.3403644001062,-25.5771004239403
"192",21.8337799927994,-25.7700304045432
"193",22.473596072419,-25.2389011058454
"194",23.046627719547,-25.6408796530007
"195",24.4115579027022,-25.6124807354561
"196",25.7815697451169,-25.240141343993
"197",27.8119832551167,-25.1773871844301
"198",28.4351092619855,-25.165737234739
"199",29.4668642142692,-25.6131275829787
"200",30.4332828659618,-24.7905361384757
"201",31.0228582706607,-24.7932023985173
"202",32.081304556024,-24.8322120160781
"203",45.6621816452974,-25.2971521764507
"204",46.7364147404526,-24.7893266811715
"205",-67.1969609495621,-24.0118004201228
"206",-66.5279835510051,-24.3912503865121
"207",-65.0424887797356,-24.014008500156
"208",-64.6384114955505,-24.2534745941068
"209",-63.6528778690305,-23.8206716230631
"210",-62.5783951563156,-23.8510464243047
"211",-61.2556311590678,-24.5306437966854
"212",-60.1265324807115,-24.0480980230157
"213",-59.9906186568437,-24.3162352170969
"214",-58.7035344184589,-23.8639990647175
"215",-56.4745925081363,-24.0763407227471
"216",-56.0891440559403,-24.2308346529681
"217",-54.4997672989673,-24.0227648127492
"218",-54.1826164654387,-24.52545341509
"219",16.9983576267592,-24.4435879507162
"220",17.5335760036902,-24.5222857532639
"221",18.2154845153368,-23.9898241039034
"222",19.5887201014206,-24.2745463179746
"223",20.3984178764118,-24.2512714716726
"224",21.9253697040422,-24.2221935930473
"225",22.1393211718686,-24.2378745478292
"226",23.9352317815066,-23.9683140079797
"227",24.9343927303259,-24.6651229669589
"228",26.7513596059285,-24.6485050333292
"229",27.3847703996775,-24.3886821273744
"230",28.3172226319385,-24.1100779271525
