"","pre_average_NTL","pre_average_LTDR","pre_max_LTDR","pre_min_temp","pre_max_temp","pre_average_temp","pre_max_precip","pre_min_precip","pre_average_precip","post_implementation_time","year","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","treatment","latitude","longitude","total_disbursements","MultiFocal","cover_outcome","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","pred_trt_NDVI"
"1",0.565978267430633,2125.00897020032,7333.38252898129,15.7532258064516,18.7935483870968,17.2938844086021,322.318548387097,12.8411290322581,110.462231182796,2,"2012",4020.16796875,7755.15966796875,2916.85361964,6.20409822464,661.682460515,43.2056655883789,1,46.1302671179,1,-0.10187057865626,37.34005,5047445.99233,0,0.00302728181447744,380.15,20.175,131.535416666667,18.625,15.825,17.1875,0.904069767442,2258.37817383,-0.0102871507360306
"14",0.336891480730213,2920.20538799577,6815.83811598538,19.6432692307692,24.4865384615385,22.3688301282051,235.941346153846,7.18846153846154,69.1029647435897,7,"2007",2099.66674804688,2363.69384765625,927.155938538,4.75147438049,277.59643436,7.4622917175293,0,27.3082821114,1,-12.8799983166436,-41.40095,10755001.0755,0,0.0275760585369895,354.5,1.125,75.7916666666667,23.85,19.975,22.2479166666667,0.40892494929,3324.32128906,0.0306080034555068
"96",0.800473718006316,1554.50066928103,5641.70376481586,25.6724137931034,28.9827586206897,27.3146551724138,390.201724137931,2.88448275862069,147.229597701149,4,"2010",2456.02978515625,298008.09375,2.38115384615,0.116362050176,284.137600806,227.099945068359,2,12.9259582996,1,9.28584463761423,104.93935,4504572.50629,0,0.0304417210588125,431.8,0,149.616666666667,29.9,26.15,27.8916666666667,0.845648604269,1684.20043945,0.0203970599164733
"216",0,2457.79390305731,6691.70008263192,25.9836538461538,33.5115384615385,29.0809294871795,277.996153846154,0.00576923076923077,75.0585737179487,7,"2007",2277.71923828125,3890.89965820312,80.0900414938,0.835217416286,353.574502639,4.50893211364746,2,12.5596511568,1,13.0077692020178,-12.91459,3914820.39148,1,0.229885057471264,239.25,0,71.3041666666667,34.125,27.2,29.7604166666667,0,2655.80004883,0.216294592524362
"367",0.733404161327314,1729.74087622871,7267.42367061484,19.4870967741935,21.7725806451613,20.7405913978495,583.279032258064,73.8016129032258,301.648051075269,2,"2012",2628.15991210938,8210.9306640625,1984.81590002,13.8069210052,503.946289463,41.104175567627,2,85.5370883693,1,9.51613609228722,-83.46728,4439882.89925,0,0.00123283352173911,590.425,117.725,313.775,22.15,20.35,21.1916666666667,0.967993434551,1839.05249023,-0.0102871507360306
"372",11.3185943939343,1673.49166377871,6912.9207251771,21.5516129032258,24.0274193548387,22.8360887096774,599.152419354839,120.906451612903,350.59563172043,2,"2012",3030.38793945312,1508.35595703125,1069.56544064,6.96079158783,242.371463715,457.8955078125,0,77.2812808353,1,10.1599601999085,-83.97442,4439882.89925,1,0.00314994697089132,511.85,131.975,309.852083333333,24.55,22.7,23.5395833333333,11.9002452984,1782.67285156,-0.0100798162798324
"369",0.241141621000062,1534.18792134032,5973.80249811,27.4032258064516,29.5225806451613,28.4397849462366,800.003225806452,127.745161290323,428.459946236559,2,"2012",71855.6015625,6050.13037109375,173.188047809,4.45905542374,519.798891528,15.9580755233765,0,47.1342399412,1,8.54244999096144,-83.57094,4439882.89925,0,0.00334814468350483,722.6,172.5,419.041666666667,30.2,27.9,28.9833333333333,0.314439387671,1654.49926758,-0.105352514338794
"16",2.31821428571438,2833.22242149846,7055.42027869577,19.8942307692308,25.0365384615385,22.8960737179487,194.175,9.14711538461538,61.8651442307692,7,"2007",1985.58483886719,1587.99926757812,588.985286445,3.61463165283,166.399348003,25.7355804443359,0,33.9171708764,1,-11.3814081721394,-40.52225,10755001.0755,1,0.0567836308004482,282.375,0,65.4479166666667,24.75,20.325,22.99375,2.14693877551,2954.69628906,-0.0348863440078272
"330",0.0734857651157647,2430.09140119931,7702.29849137931,12.6594827586207,26.2137931034483,20.5742816091954,383.422413793103,6.7198275862069,139.120114942529,4,"2010",2070.662109375,2743.59692382812,531.381506309,10.2905931473,256.57953668,57.0726203918457,0,64.941693459,1,22.4054370153792,105.61528,685818.315172,0,0.0115261728642603,363.975,23,142.960416666667,26,13.5,20.8208333333333,0.0793222949557,2412.78076172,-0.0348863440078272
"334",1.58168904084985,1754.02452392567,4678.92434081967,7.925,27.8925,17.2397916666667,90.695,5.47,37.1681944444444,3,"2011",2897.33251953125,3273.50341796875,537.700918385,3.36910700798,154.462321792,67.7230377197266,0,3.11015424484,1,35.9925312277788,9.61578,4933399.11199,0,0.0195749892334195,80.6,10.075,33.2625,27.55,7.825,17.7958333333333,1.93269884432,1550.08630371,-0.0348863440078272
